nom,station_id,RL_best,alpha_RL,Vmax_RL,calib_RL,valid_RL,prev_RL,GR4J_best,params_GR4J,calib_GR4J,valid_GR4J,prev_GR4J,HMP_best,params_HMP,calib_HMP,valid_HMP,prev_HMP,HMP_reseau_best,params_HMP_reseau,calib_HMP_reseau,valid_HMP_reseau,prev_HMP_reseau
Seiche,J748301001,,,,,,,,,,,,,"{'sy': None, 'hk': None}",,,,,"{'sy': None, 'hk': None}",,,
Odet_Ergue,J421191001,No,0.0063098261973804515,399.459639184035,0.5577496123901822,0.6425091519178828,,Yes,"[235.6045098798332, -1.7332667202388552, 310.51518934002456, 1.5057033796023056]",0.9641885910279523,0.9500762368657398,0.6108916683837404,Yes,"{'sy': 0.0038863145530223, 'hk': 8.244168753036863e-06}",0.9565107320179402,0.9781902632753414,0.9301989634103169,No,"{'sy': 0.01, 'hk': 1.6311729092278176e-05}",0.8932808343912614,0.9212036119466376,
Aulne_Poullaouen,J360181001,No,0.0107310897699848,204.09191396031775,0.6145026325983336,0.5929410032076678,,Yes,"[205.9219541717727, -2.285340655457345, 106.89482875815439, 1.4217857024216016]",0.9354702131500726,0.9361946388776443,0.8991201096183853,Yes,"{'sy': 0.0026327880859374, 'hk': 0.0014862388963847}",0.9651831070622016,0.9561711762222646,0.9488092155726741,Yes,"{'sy': 0.000595, 'hk': 9.999999999999896e-06}",0.9654563238393696,0.9593168282067028,0.9475243746575353
Canut-Nord,J751301001,,,,,,,,,,,,,"{'sy': None, 'hk': None}",,,,,"{'sy': None, 'hk': None}",,,
Gouessant,J131301001,No,0.002975754269134122,236.809337201478,0.5215394336655395,0.42847718941972623,,Yes,"[365.0374678653289, -1.583114623411813, 36.234075926476464, 1.5247747747747766]",0.9219822526875084,0.9128613714890125,0.8596674246836914,Yes,"{'sy': 0.0003540283679961, 'hk': 9.292428785370008e-06}",0.940359327409824,0.9484333090921986,0.898086358425317,Yes,"{'sy': 0.0001, 'hk': 5.3088444423098455e-06}",0.9350863230864408,0.9443680503106168,0.8981880212869763
Elle_Arzano,J474201001,,,,,,,,,,,,,"{'sy': None, 'hk': None}",,,,,"{'sy': None, 'hk': None}",,,
Canut-Sud,J797301001,,,,,,,,,,,,,"{'sy': None, 'hk': None}",,,,,"{'sy': None, 'hk': None}",,,
Semnon,J763301001,No,0.0019598067054444387,224.13365178559434,0.6478443110764218,0.6242254544855114,,Yes,"[236.5928157972747, -2.445888701008256, 25.32077114281627, 2.2769351296526175]",0.8931612107803584,0.8911030902166337,0.8669695940431037,No,"{'sy': 0.0120638916015625, 'hk': 4.300273657436013e-09}",0.8275068861340218,0.8132607170315155,,No,"{'sy': 0.01, 'hk': 7.829787941890954e-06}",0.2582146519537953,0.2532401441807502,
Trieux_StClet,J172172001,No,0.002581423211518002,445.43912837211485,0.5670638400640734,0.5843283268357937,,Yes,"[518.012824668342, -2.3244903565162742, 157.59051632336687, 1.4759759759759774]",0.949484610746759,0.9514502228487756,0.9419937323193287,Yes,"{'sy': 0.0061749999999999, 'hk': 0.0001654817099943}",0.964856082160616,0.97765575177205,0.9831060393221278,No,"{'sy': 0.01, 'hk': 5.787619883491161e-06}",0.8704533239089589,0.8640049496440739,
Flume,J721401001,No,0.0020236597905977545,308.41507279584573,0.5662689468804569,0.4527538418180733,,Yes,"[422.0705907378404, -1.2278297402794998, 32.69476024391411, 1.3255637179680448]",0.8866356015009375,0.8900108961292632,0.8530495144307315,Yes,"{'sy': 0.0010301736176013, 'hk': 0.0005046433747147}",0.8584234761399008,0.9411780483633552,0.9172460221011031,No,"{'sy': 0.01, 'hk': 4.800096849081084e-06}",0.4796092333535053,0.566122473899159,
Aff_Quelneuc,J863241001,,,,,,,,,,,,,"{'sy': None, 'hk': None}",,,,,"{'sy': None, 'hk': None}",,,
Claie_StJean,J843301002,No,0.0031753535803011766,444.5915070839479,0.4353922428962941,0.5286948643711227,,Yes,"[478.1861060892608, -1.491429971658207, 154.47001502589086, 1.6418918918918983]",0.9501152935895192,0.9518518828690087,0.8372156153170188,Yes,"{'sy': 0.0052574218749999, 'hk': 0.0001033026180317}",0.9470385562110016,0.9539977442598856,0.962097241557079,No,"{'sy': 0.01, 'hk': 4.940262207658563e-06}",0.8839305379311648,0.897846635668756,
Aron,J782401001,,,,,,,,,,,,,"{'sy': None, 'hk': None}",,,,,"{'sy': None, 'hk': None}",,,
